"tanggal";"periode";"id";"nomor";"transaksi";"referensi";"model";"rekening";"debet";"credit";"pembayaran_";"bunga_";"denda_";"titipan_";"administrasi_";"modal_";"pinjaman_";"biaya_";"kantor";"keterangan";"active";"ip";"status";"user";"created";"modified"
"2018-10-31 19:29:13";"2018.10";"1809050002/PB/";"3";;;"1.1001";"3.1000";"248000";"0";"0";"248000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60289 D";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-05 20:59:56";"2018.09";"1809050002/PI/";"2";;;"1.1001";"1.2003";"0";"10400000";"0";"0";"0";"0";"0";"0";"10400000";"0";"KSP123";"Pinjaman Kontrak No. 60289 D";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-29 19:44:35";"2018.09";"1809050003/PA/";"2";;;"1.1001";"1.2003";"694000";"0";"694000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60417 C";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-02 17:17:04";"2018.11";"1809050003/PA/";"3";;;"1.1001";"1.2003";"694000";"0";"694000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60417 C";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-29 19:44:35";"2018.09";"1809050003/PB/";"2";;;"1.1001";"3.1000";"93000";"0";"0";"93000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60417 C";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-02 17:17:04";"2018.11";"1809050003/PB/";"3";;;"1.1001";"3.1000";"93000";"0";"0";"93000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60417 C";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-05 21:04:56";"2018.09";"1809050003/PI/";"2";;;"1.1001";"1.2003";"0";"4160000";"0";"0";"0";"0";"0";"0";"4160000";"0";"KSP123";"Pinjaman Kontrak No. 60417 C";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-27 20:53:59";"2018.09";"1809060001/PA/";"2";;;"1.1001";"1.2003";"694000";"0";"694000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60539";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-26 18:37:10";"2018.10";"1809060001/PA/";"3";;;"1.1001";"1.2003";"694000";"0";"694000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60539";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-27 20:53:59";"2018.09";"1809060001/PB/";"2";;;"1.1001";"3.1000";"93000";"0";"0";"93000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60539";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
